Feature,Importance,Percentage
Init_Win_bytes_forward,0.156521010908263,15.652101090826303
Destination Port,0.10020093018531157,10.02009301853116
Bwd Packet Length Mean,0.05054462234028056,5.054462234028057
Init_Win_bytes_backward,0.03694014120009439,3.6940141200094394
Bwd IAT Min,0.03151758399932352,3.151758399932353
Flow IAT Mean,0.03137981069178788,3.1379810691787884
Bwd Packet Length Max,0.029894196563821918,2.9894196563821924
Flow Duration,0.02641805414294922,2.6418054142949225
Avg Bwd Segment Size,0.025240483234934784,2.524048323493479
Average Packet Size,0.02357450701348597,2.357450701348598
Flow IAT Min,0.02240535939425171,2.2405359394251714
Bwd IAT Std,0.021827473614415126,2.182747361441513
Bwd Packets/s,0.021343264674309668,2.134326467430967
Flow IAT Max,0.020179994653142724,2.0179994653142725
Bwd IAT Mean,0.01990875287864848,1.9908752878648481
Bwd IAT Total,0.01955791055861485,1.9557910558614853
Fwd IAT Min,0.01909767205836424,1.9097672058364243
Fwd IAT Mean,0.01872186872759733,1.8721868727597333
Packet Length Mean,0.017586701560257413,1.7586701560257416
Total Length of Bwd Packets,0.017214351446187045,1.7214351446187048
Fwd IAT Total,0.017008552669911015,1.700855266991102
Flow Packets/s,0.016147560232584464,1.6147560232584468
Bwd IAT Max,0.01577424257296908,1.5774242572969084
Fwd Header Length,0.015474601979841601,1.5474601979841605
Flow IAT Std,0.015119431158169293,1.5119431158169296
Fwd Packet Length Mean,0.014858994704890063,1.4858994704890067
Bwd Packet Length Std,0.014081301563873674,1.4081301563873678
Fwd IAT Std,0.013578207796990805,1.3578207796990809
Fwd IAT Max,0.01325433002406415,1.3254330024064154
Fwd Packets/s,0.011592495126150933,1.1592495126150935
Subflow Bwd Bytes,0.011367803064211241,1.1367803064211244
Avg Fwd Segment Size,0.010618145297142025,1.0618145297142028
Flow Bytes/s,0.01041784279243128,1.0417842792431282
Fwd Packet Length Max,0.010324600748300284,1.0324600748300286
Packet Length Variance,0.009341687769479603,0.9341687769479604
Subflow Fwd Packets,0.008111236693142634,0.8111236693142636
Fwd Header Length.1,0.007942983495173915,0.7942983495173916
Total Length of Fwd Packets,0.007773646521996631,0.7773646521996633
Subflow Fwd Bytes,0.007459623017516468,0.7459623017516469
Packet Length Std,0.007247003198607716,0.7247003198607718
Subflow Bwd Packets,0.006618689713987907,0.6618689713987909
Total Backward Packets,0.006501721231515692,0.6501721231515694
Max Packet Length,0.00585083453036435,0.585083453036435
Total Fwd Packets,0.005068199761552672,0.5068199761552673
act_data_pkt_fwd,0.004597060474101941,0.45970604741019416
Bwd Header Length,0.004092201952029391,0.40922019520293923
PSH Flag Count,0.0040773637210361775,0.40773637210361785
Fwd Packet Length Std,0.003951037971071249,0.39510379710712495
ACK Flag Count,0.0038651960187848526,0.38651960187848533
Bwd Packet Length Min,0.0023318015130957153,0.23318015130957156
Down/Up Ratio,0.0020787853397109183,0.20787853397109188
URG Flag Count,0.0012839301351745443,0.12839301351745444
min_seg_size_forward,0.0006484137164980225,0.06484137164980226
Min Packet Length,0.0006401449159017419,0.0640144915901742
Idle Mean,0.000298074200595926,0.029807420059592606
Active Min,0.00018719984312599232,0.018719984312599237
Fwd Packet Length Min,0.0001345923400463395,0.013459234004633953
FIN Flag Count,6.880319663200339e-05,0.00688031966320034
Active Max,3.781824582490894e-05,0.003781824582490895
Idle Std,2.710446395968874e-05,0.0027104463959688745
Idle Min,1.9788195457680468e-05,0.0019788195457680472
Active Mean,1.9356225846956143e-05,0.0019356225846956145
Fwd PSH Flags,1.3466966708024455e-05,0.0013466966708024458
Active Std,1.0182848344411685e-05,0.0010182848344411687
Idle Max,4.9095840029952855e-06,0.0004909584002995287
SYN Flag Count,4.3426211414687015e-06,0.0004342621141468702
Bwd Avg Bulk Rate,0.0,0.0
RST Flag Count,0.0,0.0
CWE Flag Count,0.0,0.0
ECE Flag Count,0.0,0.0
Bwd URG Flags,0.0,0.0
Fwd URG Flags,0.0,0.0
Bwd PSH Flags,0.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0
Fwd Avg Bulk Rate,0.0,0.0
Bwd Avg Bytes/Bulk,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0
